"Plot Title: Ischua 1"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 22063093, SEN S/N: 22063093, LBL: press)","Temp, °F (LGR S/N: 22063093, SEN S/N: 22063093, LBL: temp)","Coupler Detached (LGR S/N: 22063093)","Coupler Attached (LGR S/N: 22063093)","Host Connected (LGR S/N: 22063093)","Stopped (LGR S/N: 22063093)","End Of File (LGR S/N: 22063093)"
1,01/14/26 11:15:00 AM,14.2862,72.028,Logged,,,,
2,01/14/26 11:15:30 AM,14.2862,72.028,,,,,
3,01/14/26 11:16:00 AM,14.2862,72.028,,,,,
4,01/14/26 11:16:30 AM,14.2846,72.028,,,,,
5,01/14/26 11:17:00 AM,14.2862,72.028,,,,,
6,01/14/26 11:17:30 AM,14.2862,72.028,,,,,
7,01/14/26 11:18:00 AM,14.2862,72.028,,,,,
8,01/14/26 11:18:30 AM,14.2862,72.028,,,,,
9,01/14/26 11:19:00 AM,14.2846,72.028,,,,,
10,01/14/26 11:19:30 AM,14.2846,72.028,,,,,
11,01/14/26 11:20:00 AM,14.2858,71.856,,,,,
12,01/14/26 11:20:30 AM,14.2874,71.856,,,,,
13,01/14/26 11:21:00 AM,14.5969,71.512,,,,,
14,01/14/26 11:21:30 AM,14.5994,70.651,,,,,
15,01/14/26 11:22:00 AM,14.6007,69.964,,,,,
16,01/14/26 11:22:30 AM,14.6024,69.449,,,,,
17,01/14/26 11:23:00 AM,14.6036,68.763,,,,,
18,01/14/26 11:23:30 AM,14.6041,68.421,,,,,
19,01/14/26 11:24:00 AM,14.6043,67.906,,,,,
20,01/14/26 11:24:30 AM,14.6065,67.564,,,,,
21,01/14/26 11:25:00 AM,14.6070,67.221,,,,,
22,01/14/26 11:25:30 AM,14.6049,67.050,,,,,
23,01/14/26 11:26:00 AM,14.6088,66.708,,,,,
24,01/14/26 11:26:30 AM,14.6082,66.537,,,,,
25,01/14/26 11:27:00 AM,14.6076,66.366,,,,,
26,01/14/26 11:27:30 AM,14.6049,66.022,,,,,
27,01/14/26 11:28:00 AM,14.6059,65.851,,,,,
28,01/14/26 11:28:30 AM,14.6070,65.680,,,,,
29,01/14/26 11:29:00 AM,14.6086,65.680,,,,,
30,01/14/26 11:29:30 AM,14.6065,65.509,,,,,
31,01/14/26 11:30:00 AM,14.6043,65.338,,,,,
32,01/14/26 11:30:30 AM,14.6043,65.338,,,,,
33,01/14/26 11:31:00 AM,14.6053,65.167,,,,,
34,01/14/26 11:31:30 AM,14.6053,65.167,,,,,
35,01/14/26 11:32:00 AM,14.6049,64.996,,,,,
36,01/14/26 11:32:30 AM,14.6049,64.996,,,,,
37,01/14/26 11:33:00 AM,14.6043,64.825,,,,,
38,01/14/26 11:33:30 AM,14.6043,64.825,,,,,
39,01/14/26 11:34:00 AM,14.6037,64.652,,,,,
40,01/14/26 11:34:30 AM,14.6053,64.652,,,,,
41,01/14/26 11:35:00 AM,14.6020,64.652,,,,,
42,01/14/26 11:35:30 AM,14.6031,64.481,,,,,
43,01/14/26 11:36:00 AM,14.6047,64.481,,,,,
44,01/14/26 11:36:30 AM,14.6047,64.481,,,,,
45,01/14/26 11:37:00 AM,14.6014,64.481,,,,,
46,01/14/26 11:37:30 AM,14.6025,64.310,,,,,
47,01/14/26 11:38:00 AM,14.6008,64.310,,,,,
48,01/14/26 11:38:30 AM,14.6041,64.310,,,,,
49,01/14/26 11:39:00 AM,14.6025,64.310,,,,,
50,01/14/26 11:39:30 AM,14.6025,64.310,,,,,
51,01/14/26 11:40:00 AM,14.6020,64.139,,,,,
52,01/14/26 11:40:30 AM,14.6002,64.139,,,,,
53,01/14/26 11:41:00 AM,14.6020,64.139,,,,,
54,01/14/26 11:41:30 AM,14.2769,64.139,,,,,
55,01/14/26 11:42:00 AM,14.2803,64.139,,,,,
56,01/14/26 11:42:30 AM,14.2769,64.139,,,,,
57,01/14/26 11:43:00 AM,14.2753,64.139,,,,,
58,01/14/26 11:43:30 AM,14.2769,64.139,,,,,
59,01/14/26 11:44:00 AM,14.2775,64.310,,,,,
60,01/14/26 11:44:30 AM,14.2759,64.310,,,,,
61,01/14/26 11:45:00 AM,14.2764,64.481,,,,,
62,01/14/26 11:45:30 AM,14.2769,64.652,,,,,
63,01/14/26 11:46:00 AM,14.2759,64.825,,,,,
64,01/14/26 11:46:30 AM,14.2765,64.996,,,,,
65,01/14/26 11:46:50 AM,,,,Logged,,,
66,01/14/26 11:46:52 AM,,,,,Logged,,
67,01/14/26 11:47:00 AM,14.2765,65.509,,,,Logged,Logged
